reg;clage_vacsi;jour;n_tot_dose1;n_tot_complet;n_tot_rappel;n_tot_2_rappel;pop;couv_tot_dose1;couv_tot_complet;couv_tot_rappel;couv_tot_2_rappel
08;49;2022-04-06;2593;2447;1149;0.0;5612.0;46.2;43.6;20.5;0.0
08;59;2022-04-06;3021;2874;1547;0.0;5042.5;59.9;57.0;30.7;0.0
08;09;2022-04-06;33;24;0;0.0;2990.8;1.1;0.8;0.0;0.0
08;64;2022-04-06;1198;1151;616;0.0;1727.8;69.3;66.6;35.7;0.0
08;69;2022-04-06;844;794;456;0.0;1332.2;63.4;59.6;34.2;0.0
08;74;2022-04-06;569;551;353;0.0;766.5;74.2;71.9;46.1;0.0
08;79;2022-04-06;331;316;207;0.0;386.4;85.7;81.8;53.6;0.0
08;80;2022-04-06;237;216;116;5.0;416.7;56.9;51.8;27.8;1.2
11;04;2022-04-06;393;135;37;0.0;793690.0;0.0;0.0;0.0;0.0
11;11;2022-04-06;26061;21737;605;0.0;315880.0;8.3;6.9;0.2;0.0
11;17;2022-04-06;706109;687337;129933;0.0;919611.0;76.8;74.7;14.1;0.0
11;24;2022-04-06;944668;930436;611749;0.0;1099492.0;85.9;84.6;55.6;0.0
11;29;2022-04-06;778417;769012;513958;0.0;863043.0;90.2;89.1;59.6;0.0
11;39;2022-04-06;1572790;1554411;1048222;0.0;1757848.0;89.5;88.4;59.6;0.0
11;49;2022-04-06;1531378;1517786;1121936;0.0;1671811.0;91.6;90.8;67.1;0.0
11;59;2022-04-06;1462080;1452484;1191262;0.0;1538636.0;95.0;94.4;77.4;0.0
11;09;2022-04-06;23489;18983;169;0.0;801166.0;2.9;2.4;0.0;0.0
11;64;2022-04-06;595646;592102;507359;0.0;631296.0;94.4;93.8;80.4;0.0
11;69;2022-04-06;488995;485733;426763;0.0;546545.0;89.5;88.9;78.1;0.0
11;74;2022-04-06;457650;454698;405902;0.0;480366.0;95.3;94.7;84.5;0.0
11;79;2022-04-06;295155;292904;260935;0.0;312596.0;94.4;93.7;83.5;0.0
11;80;2022-04-06;476088;468678;401078;55874.0;546230.0;87.2;85.8;73.4;10.2
24;04;2022-04-06;35;11;2;0.0;131083.0;0.0;0.0;0.0;0.0
24;11;2022-04-06;6682;5379;90;0.0;63840.0;10.5;8.4;0.1;0.0
24;17;2022-04-06;168634;165088;37045;0.0;190351.0;88.6;86.7;19.5;0.0
24;24;2022-04-06;191530;189213;137637;0.0;184324.0;99.0;99.0;74.7;0.0
24;29;2022-04-06;115738;114228;81205;0.0;124422.0;93.0;91.8;65.3;0.0
