dep;semaine_glissante;pop;P;T
02;2020-06-20-2020-06-26;526050;20;1763
02;2020-06-21-2020-06-27;526050;20;1764
02;2020-06-22-2020-06-28;526050;20;1776
02;2020-06-23-2020-06-29;526050;16;1617
02;2020-06-24-2020-06-30;526050;14;1653
02;2020-06-25-2020-07-01;526050;16;1729
02;2020-06-26-2020-07-02;526050;16;1826
02;2020-06-27-2020-07-03;526050;18;2044
02;2020-06-28-2020-07-04;526050;20;2197
02;2020-06-29-2020-07-05;526050;20;2189
02;2020-06-30-2020-07-06;526050;20;2327
02;2020-07-01-2020-07-07;526050;21;2281
02;2020-07-02-2020-07-08;526050;22;2271
02;2020-07-03-2020-07-09;526050;22;2278
02;2020-07-04-2020-07-10;526050;24;2263
02;2020-07-05-2020-07-11;526050;23;2145
02;2020-07-06-2020-07-12;526050;24;2158
02;2020-07-07-2020-07-13;526050;24;2048
02;2020-07-08-2020-07-14;526050;20;1650
02;2020-07-09-2020-07-15;526050;17;1744
02;2020-07-10-2020-07-16;526050;14;1798
02;2020-07-11-2020-07-17;526050;12;1795
02;2020-07-12-2020-07-18;526050;11;1881
02;2020-07-13-2020-07-19;526050;10;1893
02;2020-07-14-2020-07-20;526050;8;1966
02;2020-07-15-2020-07-21;526050;12;2275
02;2020-07-16-2020-07-22;526050;19;2282
02;2020-07-17-2020-07-23;526050;21;2243
02;2020-07-18-2020-07-24;526050;22;2259
02;2020-07-19-2020-07-25;526050;23;2202
02;2020-07-20-2020-07-26;526050;23;2193
02;2020-07-21-2020-07-27;526050;26;2178
02;2020-07-22-2020-07-28;526050;26;2300
02;2020-07-23-2020-07-29;526050;20;2347
02;2020-07-24-2020-07-30;526050;16;2400
02;2020-07-25-2020-07-31;526050;14;2379
02;2020-07-26-2020-08-01;526050;17;2391
02;2020-07-27-2020-08-02;526050;17;2393
02;2020-07-28-2020-08-03;526050;26;2362
02;2020-07-29-2020-08-04;526050;26;2274
02;2020-07-30-2020-08-05;526050;28;2261
02;2020-07-31-2020-08-06;526050;29;2301
02;2020-08-01-2020-08-07;526050;33;2259
02;2020-08-02-2020-08-08;526050;28;2266
02;2020-08-03-2020-08-09;526050;29;2270
02;2020-08-04-2020-08-10;526050;24;2201
02;2020-08-05-2020-08-11;526050;29;2141
02;2020-08-06-2020-08-12;526050;32;2074
02;2020-08-07-2020-08-13;526050;33;2064
