reg;semaine_glissante;pop;P;T;nom_region
01;2020-10-09-2020-10-15;376879;452;3547;Guadeloupe
01;2020-10-10-2020-10-16;376879;418;3440;Guadeloupe
01;2020-10-11-2020-10-17;376879;400;3411;Guadeloupe
01;2020-10-12-2020-10-18;376879;395;3430;Guadeloupe
01;2020-10-13-2020-10-19;376879;370;3388;Guadeloupe
01;2020-10-14-2020-10-20;376879;330;3205;Guadeloupe
01;2020-10-15-2020-10-21;376879;312;3136;Guadeloupe
01;2020-10-16-2020-10-22;376879;280;3018;Guadeloupe
01;2020-10-17-2020-10-23;376879;274;3111;Guadeloupe
01;2020-10-18-2020-10-24;376879;271;3091;Guadeloupe
01;2020-10-19-2020-10-25;376879;273;3110;Guadeloupe
01;2020-10-20-2020-10-26;376879;266;3073;Guadeloupe
01;2020-10-21-2020-10-27;376879;267;3170;Guadeloupe
01;2020-10-22-2020-10-28;376879;269;3233;Guadeloupe
01;2020-10-23-2020-10-29;376879;275;3536;Guadeloupe
01;2020-10-24-2020-10-30;376879;301;3736;Guadeloupe
01;2020-10-25-2020-10-31;376879;300;3789;Guadeloupe
01;2020-10-26-2020-11-01;376879;293;3720;Guadeloupe
01;2020-10-27-2020-11-02;376879;241;3233;Guadeloupe
01;2020-10-28-2020-11-03;376879;252;3263;Guadeloupe
01;2020-10-29-2020-11-04;376879;238;3250;Guadeloupe
01;2020-10-30-2020-11-05;376879;222;2922;Guadeloupe
01;2020-10-31-2020-11-06;376879;194;2579;Guadeloupe
01;2020-11-01-2020-11-07;376879;192;2481;Guadeloupe
01;2020-11-02-2020-11-08;376879;193;2489;Guadeloupe
01;2020-11-03-2020-11-09;376879;213;2843;Guadeloupe
01;2020-11-04-2020-11-10;376879;186;2607;Guadeloupe
01;2020-11-05-2020-11-11;376879;159;2209;Guadeloupe
01;2020-11-06-2020-11-12;376879;148;2212;Guadeloupe
01;2020-11-07-2020-11-13;376879;136;2168;Guadeloupe
01;2020-11-08-2020-11-14;376879;137;2167;Guadeloupe
01;2020-11-09-2020-11-15;376879;132;2141;Guadeloupe
01;2020-11-10-2020-11-16;376879;124;2032;Guadeloupe
01;2020-11-11-2020-11-17;376879;106;2015;Guadeloupe
01;2020-11-12-2020-11-18;376879;113;2185;Guadeloupe
01;2020-11-13-2020-11-19;376879;107;2149;Guadeloupe
01;2020-11-14-2020-11-20;376879;105;2169;Guadeloupe
01;2020-11-15-2020-11-21;376879;102;2164;Guadeloupe
01;2020-11-16-2020-11-22;376879;109;2169;Guadeloupe
01;2020-11-17-2020-11-23;376879;98;2252;Guadeloupe
01;2020-11-18-2020-11-24;376879;95;2220;Guadeloupe
01;2020-11-19-2020-11-25;376879;88;2175;Guadeloupe
01;2020-11-20-2020-11-26;376879;81;2172;Guadeloupe
01;2020-11-21-2020-11-27;376879;81;2183;Guadeloupe
01;2020-11-22-2020-11-28;376879;80;2215;Guadeloupe
01;2020-11-23-2020-11-29;376879;73;2217;Guadeloupe
01;2020-11-24-2020-11-30;376879;72;2124;Guadeloupe
01;2020-11-25-2020-12-01;376879;74;2138;Guadeloupe
01;2020-11-26-2020-12-02;376879;73;2216;Guadeloupe
01;2020-11-27-2020-12-03;376879;61;2144;Guadeloupe
01;2020-11-28-2020-12-04;376879;49;2129;Guadeloupe
01;2020-11-29-2020-12-05;376879;44;2150;Guadeloupe
01;2020-11-30-2020-12-06;376879;49;2173;Guadeloupe
01;2020-12-01-2020-12-07;376879;48;2220;Guadeloupe
01;2020-12-02-2020-12-08;376879;41;2232;Guadeloupe
01;2020-12-03-2020-12-09;376879;40;2221;Guadeloupe
01;2020-12-04-2020-12-10;376879;43;2229;Guadeloupe
01;2020-12-05-2020-12-11;376879;49;2245;Guadeloupe
01;2020-12-06-2020-12-12;376879;50;2246;Guadeloupe
01;2020-12-07-2020-12-13;376879;47;2214;Guadeloupe
01;2020-12-08-2020-12-14;376879;47;2221;Guadeloupe
01;2020-12-09-2020-12-15;376879;49;2458;Guadeloupe
01;2020-12-10-2020-12-16;376879;52;2580;Guadeloupe
01;2020-12-11-2020-12-17;376879;64;2789;Guadeloupe
01;2020-12-12-2020-12-18;376879;67;2933;Guadeloupe
01;2020-12-13-2020-12-19;376879;74;3019;Guadeloupe
01;2020-12-14-2020-12-20;376879;73;3063;Guadeloupe
01;2020-12-15-2020-12-21;376879;73;3154;Guadeloupe
01;2020-12-16-2020-12-22;376879;72;2944;Guadeloupe
01;2020-12-17-2020-12-23;376879;79;2921;Guadeloupe
01;2020-12-18-2020-12-24;376879;81;2799;Guadeloupe
01;2020-12-19-2020-12-25;376879;72;2408;Guadeloupe
01;2020-12-20-2020-12-26;376879;67;2478;Guadeloupe
01;2020-12-21-2020-12-27;376879;70;2501;Guadeloupe
01;2020-12-22-2020-12-28;376879;75;2613;Guadeloupe
01;2020-12-23-2020-12-29;376879;80;2770;Guadeloupe
01;2020-12-24-2020-12-30;376879;84;3272;Guadeloupe
01;2020-12-25-2020-12-31;376879;81;4156;Guadeloupe
01;2020-12-26-2021-01-01;376879;82;4216;Guadeloupe
01;2020-12-27-2021-01-02;376879;101;4841;Guadeloupe
01;2020-12-28-2021-01-03;376879;98;4901;Guadeloupe
01;2020-12-29-2021-01-04;376879;101;5085;Guadeloupe
01;2020-12-30-2021-01-05;376879;105;5102;Guadeloupe
01;2020-12-31-2021-01-06;376879;105;4692;Guadeloupe
