fra;semaine_glissante;pop;P;T
FR;2021-01-30-2021-02-05;67114995;141714;2219243
FR;2021-01-31-2021-02-06;67114995;140992;2227219
FR;2021-02-01-2021-02-07;67114995;140464;2226291
FR;2021-02-02-2021-02-08;67114995;136759;2199432
FR;2021-02-03-2021-02-09;67114995;134938;2194168
FR;2021-02-04-2021-02-10;67114995;133782;2192821
FR;2021-02-05-2021-02-11;67114995;131845;2187103
FR;2021-02-06-2021-02-12;67114995;129976;2175199
FR;2021-02-07-2021-02-13;67114995;129092;2172853
FR;2021-02-08-2021-02-14;67114995;129096;2172162
FR;2021-02-09-2021-02-15;67114995;129191;2154966
FR;2021-02-10-2021-02-16;67114995;129111;2136216
FR;2021-02-11-2021-02-17;67114995;130561;2129938
FR;2021-02-12-2021-02-18;67114995;133654;2135393
FR;2021-02-13-2021-02-19;67114995;137497;2141175
FR;2021-02-14-2021-02-20;67114995;139634;2143372
FR;2021-02-15-2021-02-21;67114995;140184;2143774
FR;2021-02-16-2021-02-22;67114995;144945;2118616
FR;2021-02-17-2021-02-23;67114995;148086;2100361
FR;2021-02-18-2021-02-24;67114995;149883;2093445
FR;2021-02-19-2021-02-25;67114995;150712;2080507
FR;2021-02-20-2021-02-26;67114995;150365;2069636
FR;2021-02-21-2021-02-27;67114995;150546;2062362
FR;2021-02-22-2021-02-28;67114995;150431;2062327
FR;2021-02-23-2021-03-01;67114995;149175;2046352
FR;2021-02-24-2021-03-02;67114995;148125;2039199
FR;2021-02-25-2021-03-03;67114995;147517;2031966
FR;2021-02-26-2021-03-04;67114995;147084;2036805
FR;2021-02-27-2021-03-05;67114995;147585;2047293
FR;2021-02-28-2021-03-06;67114995;148754;2055447
FR;2021-03-01-2021-03-07;67114995;149026;2056978
FR;2021-03-02-2021-03-08;67114995;151433;2068587
FR;2021-03-03-2021-03-09;67114995;154668;2100959
FR;2021-03-04-2021-03-10;67114995;159214;2131457
FR;2021-03-05-2021-03-11;67114995;166416;2218331
FR;2021-03-06-2021-03-12;67114995;173154;2302002
FR;2021-03-07-2021-03-13;67114995;178464;2342105
FR;2021-03-08-2021-03-14;67114995;179902;2350565
FR;2021-03-09-2021-03-15;67114995;190419;2401233
FR;2021-03-10-2021-03-16;67114995;197861;2470199
FR;2021-03-11-2021-03-17;67114995;202447;2514121
FR;2021-03-12-2021-03-18;67114995;205858;2573014
FR;2021-03-13-2021-03-19;67114995;210282;2640428
FR;2021-03-14-2021-03-20;67114995;212228;2674319
FR;2021-03-15-2021-03-21;67114995;212691;2679719
FR;2021-03-16-2021-03-22;67114995;220703;2755415
FR;2021-03-17-2021-03-23;67114995;228670;2842939
