reg;nom_reg;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
84;Auvergne-Rhône-Alpes;2022-01-06-2022-01-12;328957.00;65312.00;19.85;58075.00;22.00;0.04;55959.00;3819.00;6.39;1848.00;24325.00;92.94;54507.00;58079.00;93.85
84;Auvergne-Rhône-Alpes;2022-01-07-2022-01-13;333698.00;64198.00;19.24;57777.00;22.00;0.04;56213.00;3216.00;5.41;1785.00;29167.00;94.23;54758.00;57773.00;94.78
84;Auvergne-Rhône-Alpes;2022-01-08-2022-01-14;340836.00;63315.00;18.58;57720.00;17.00;0.03;56819.00;2576.00;4.34;1655.00;33797.00;95.33;55285.00;57710.00;95.80
84;Auvergne-Rhône-Alpes;2022-01-09-2022-01-15;347258.00;63769.00;18.36;58513.00;17.00;0.03;57834.00;2350.00;3.90;1604.00;36484.00;95.79;56261.00;58489.00;96.19
84;Auvergne-Rhône-Alpes;2022-01-10-2022-01-16;350831.00;63926.00;18.22;58657.00;17.00;0.03;58045.00;2323.00;3.85;1585.00;36942.00;95.89;56431.00;58633.00;96.24
84;Auvergne-Rhône-Alpes;2022-01-11-2022-01-17;366468.00;67153.00;18.32;62806.00;17.00;0.03;62631.00;1922.00;2.98;1675.00;49509.00;96.73;60954.00;62785.00;97.08
84;Auvergne-Rhône-Alpes;2022-01-12-2022-01-18;378525.00;70131.00;18.53;66562.00;18.00;0.03;66633.00;1610.00;2.36;1676.00;59145.00;97.24;64981.00;66538.00;97.66
84;Auvergne-Rhône-Alpes;2022-01-13-2022-01-19;389423.00;73707.00;18.93;69997.00;18.00;0.03;70276.00;1405.00;1.96;1609.00;64439.00;97.56;68618.00;69977.00;98.06
84;Auvergne-Rhône-Alpes;2022-01-14-2022-01-20;399216.00;77051.00;19.30;73154.00;20.00;0.03;73610.00;1282.00;1.71;1564.00;68979.00;97.78;71900.00;73144.00;98.30
84;Auvergne-Rhône-Alpes;2022-01-15-2022-01-21;406329.00;79506.00;19.57;75502.00;15.00;0.02;76074.00;1155.00;1.50;1508.00;72918.00;97.97;74386.00;75491.00;98.54
84;Auvergne-Rhône-Alpes;2022-01-16-2022-01-22;411088.00;80492.00;19.58;76413.00;14.00;0.02;77072.00;1081.00;1.38;1467.00;74553.00;98.07;75369.00;76403.00;98.65
84;Auvergne-Rhône-Alpes;2022-01-17-2022-01-23;411720.00;80535.00;19.56;76461.00;14.00;0.02;77124.00;1064.00;1.36;1453.00;74521.00;98.09;75429.00;76450.00;98.66
84;Auvergne-Rhône-Alpes;2022-01-18-2022-01-24;413807.00;82573.00;19.95;78263.00;22.00;0.03;79179.00;861.00;1.08;1270.00;75145.00;98.34;77419.00;78252.00;98.94
84;Auvergne-Rhône-Alpes;2022-01-19-2022-01-25;408095.00;82587.00;20.24;78283.00;26.00;0.03;79333.00;752.00;0.94;1158.00;73924.00;98.46;77549.00;78281.00;99.06
84;Auvergne-Rhône-Alpes;2022-01-20-2022-01-26;400215.00;81597.00;20.39;77253.00;24.00;0.03;78449.00;653.00;0.83;1040.00;71924.00;98.57;76613.00;77249.00;99.18
84;Auvergne-Rhône-Alpes;2022-01-21-2022-01-27;388475.00;79937.00;20.58;75678.00;25.00;0.03;76928.00;567.00;0.73;925.00;69637.00;98.69;75127.00;75677.00;99.27
84;Auvergne-Rhône-Alpes;2022-01-22-2022-01-28;375627.00;78179.00;20.81;73893.00;25.00;0.03;75250.00;477.00;0.63;837.00;67515.00;98.78;73419.00;73893.00;99.36
84;Auvergne-Rhône-Alpes;2022-01-23-2022-01-29;366396.00;77518.00;21.16;73335.00;25.00;0.03;74705.00;440.00;0.59;817.00;66908.00;98.79;72911.00;73347.00;99.41
84;Auvergne-Rhône-Alpes;2022-01-24-2022-01-30;361841.00;77338.00;21.37;73165.00;25.00;0.03;74537.00;432.00;0.58;812.00;66783.00;98.80;72747.00;73177.00;99.41
84;Auvergne-Rhône-Alpes;2022-01-25-2022-01-31;339226.00;70723.00;20.85;66897.00;25.00;0.04;68310.00;330.00;0.48;673.00;62475.00;98.93;66587.00;66918.00;99.51
84;Auvergne-Rhône-Alpes;2022-01-26-2022-02-01;320054.00;65181.00;20.37;61453.00;25.00;0.04;62939.00;268.00;0.42;599.00;58918.00;98.99;61203.00;61474.00;99.56
84;Auvergne-Rhône-Alpes;2022-01-27-2022-02-02;301453.00;60199.00;19.97;56649.00;25.00;0.04;58201.00;236.00;0.40;529.00;55652.00;99.06;56436.00;56672.00;99.58
84;Auvergne-Rhône-Alpes;2022-01-28-2022-02-03;285624.00;55155.00;19.31;51833.00;26.00;0.05;53377.00;181.00;0.34;471.00;52203.00;99.11;51671.00;51855.00;99.65
84;Auvergne-Rhône-Alpes;2022-01-29-2022-02-04;268250.00;50385.00;18.78;47359.00;27.00;0.06;48861.00;146.00;0.30;427.00;48736.00;99.13;47232.00;47382.00;99.68
84;Auvergne-Rhône-Alpes;2022-01-30-2022-02-05;256395.00;48107.00;18.76;45116.00;33.00;0.07;46636.00;137.00;0.29;405.00;46849.00;99.14;45000.00;45145.00;99.68
84;Auvergne-Rhône-Alpes;2022-01-31-2022-02-06;252071.00;47878.00;18.99;44938.00;33.00;0.07;46426.00;131.00;0.28;397.00;46688.00;99.16;44828.00;44968.00;99.69
84;Auvergne-Rhône-Alpes;2022-02-01-2022-02-07;225805.00;43032.00;19.06;40301.00;25.00;0.06;41712.00;120.00;0.29;385.00;41896.00;99.09;40203.00;40323.00;99.70
84;Auvergne-Rhône-Alpes;2022-02-02-2022-02-08;207312.00;39690.00;19.15;37193.00;18.00;0.05;38479.00;100.00;0.26;357.00;38658.00;99.08;37112.00;37208.00;99.74
84;Auvergne-Rhône-Alpes;2022-02-03-2022-02-09;189867.00;36584.00;19.27;34320.00;18.00;0.05;35459.00;82.00;0.23;326.00;35602.00;99.09;34253.00;34334.00;99.76
84;Auvergne-Rhône-Alpes;2022-02-04-2022-02-10;175140.00;33932.00;19.37;31758.00;13.00;0.04;32880.00;77.00;0.23;297.00;33051.00;99.11;31695.00;31770.00;99.76
84;Auvergne-Rhône-Alpes;2022-02-05-2022-02-11;160632.00;31255.00;19.46;29178.00;13.00;0.04;30259.00;60.00;0.20;249.00;30465.00;99.19;29127.00;29190.00;99.78
84;Auvergne-Rhône-Alpes;2022-02-06-2022-02-12;149670.00;29764.00;19.89;27765.00;7.00;0.03;28811.00;52.00;0.18;210.00;28996.00;99.28;27720.00;27771.00;99.82
84;Auvergne-Rhône-Alpes;2022-02-07-2022-02-13;145744.00;29552.00;20.28;27564.00;7.00;0.03;28593.00;50.00;0.17;206.00;28780.00;99.29;27521.00;27570.00;99.82
84;Auvergne-Rhône-Alpes;2022-02-08-2022-02-14;124250.00;25613.00;20.61;23796.00;6.00;0.03;24787.00;38.00;0.15;169.00;24939.00;99.33;23764.00;23801.00;99.84
84;Auvergne-Rhône-Alpes;2022-02-09-2022-02-15;111607.00;23131.00;20.73;21438.00;5.00;0.02;22406.00;29.00;0.13;153.00;22513.00;99.32;21415.00;21442.00;99.87
84;Auvergne-Rhône-Alpes;2022-02-10-2022-02-16;99281.00;20888.00;21.04;19249.00;4.00;0.02;20229.00;30.00;0.15;122.00;20362.00;99.40;19227.00;19253.00;99.86
84;Auvergne-Rhône-Alpes;2022-02-11-2022-02-17;90685.00;18911.00;20.85;17404.00;2.00;0.01;18317.00;20.00;0.11;102.00;18451.00;99.45;17391.00;17406.00;99.91
84;Auvergne-Rhône-Alpes;2022-02-12-2022-02-18;82648.00;17464.00;21.13;16049.00;1.00;0.01;16960.00;16.00;0.09;103.00;17042.00;99.40;16038.00;16050.00;99.93
84;Auvergne-Rhône-Alpes;2022-02-13-2022-02-19;77396.00;16587.00;21.43;15229.00;2.00;0.01;16105.00;16.00;0.10;108.00;16174.00;99.34;15217.00;15231.00;99.91
84;Auvergne-Rhône-Alpes;2022-02-14-2022-02-20;75816.00;16483.00;21.74;15157.00;2.00;0.01;16007.00;18.00;0.11;112.00;16075.00;99.31;15143.00;15158.00;99.90
84;Auvergne-Rhône-Alpes;2022-02-15-2022-02-21;67625.00;14824.00;21.92;13603.00;2.00;0.01;14386.00;16.00;0.11;105.00;14426.00;99.28;13589.00;13604.00;99.89
84;Auvergne-Rhône-Alpes;2022-02-16-2022-02-22;62844.00;13762.00;21.90;12601.00;2.00;0.02;13361.00;14.00;0.10;88.00;13405.00;99.35;12588.00;12602.00;99.89
84;Auvergne-Rhône-Alpes;2022-02-17-2022-02-23;58556.00;12982.00;22.17;11912.00;2.00;0.02;12606.00;12.00;0.10;93.00;12623.00;99.27;11900.00;11913.00;99.89
84;Auvergne-Rhône-Alpes;2022-02-18-2022-02-24;55057.00;12413.00;22.55;11385.00;2.00;0.02;12054.00;11.00;0.09;98.00;12058.00;99.19;11375.00;11386.00;99.90
84;Auvergne-Rhône-Alpes;2022-02-19-2022-02-25;51366.00;11585.00;22.55;10608.00;2.00;0.02;11230.00;11.00;0.10;98.00;11241.00;99.14;10598.00;10609.00;99.90
84;Auvergne-Rhône-Alpes;2022-02-20-2022-02-26;49099.00;11178.00;22.77;10236.00;1.00;0.01;10844.00;9.00;0.08;87.00;10857.00;99.21;10228.00;10236.00;99.92
84;Auvergne-Rhône-Alpes;2022-02-21-2022-02-27;48720.00;11078.00;22.74;10169.00;1.00;0.01;10751.00;7.00;0.07;83.00;10763.00;99.23;10163.00;10170.00;99.93
84;Auvergne-Rhône-Alpes;2022-02-22-2022-02-28;46043.00;10428.00;22.65;9595.00;2.00;0.02;10149.00;7.00;0.07;80.00;10153.00;99.22;9590.00;9597.00;99.93
84;Auvergne-Rhône-Alpes;2022-02-23-2022-03-01;44235.00;10037.00;22.69;9213.00;34.00;0.37;9759.00;9.00;0.09;83.00;9759.00;99.16;9205.00;9246.00;99.56
84;Auvergne-Rhône-Alpes;2022-02-24-2022-03-02;43109.00;9711.00;22.53;8897.00;61.00;0.68;9430.00;9.00;0.10;68.00;9440.00;99.28;8889.00;8957.00;99.24
84;Auvergne-Rhône-Alpes;2022-02-25-2022-03-03;42008.00;9490.00;22.59;8665.00;61.00;0.70;9212.00;8.00;0.09;60.00;9230.00;99.35;8657.00;8725.00;99.22
84;Auvergne-Rhône-Alpes;2022-02-26-2022-03-04;40658.00;9261.00;22.78;8447.00;61.00;0.72;8981.00;9.00;0.10;56.00;8997.00;99.38;8438.00;8507.00;99.19
84;Auvergne-Rhône-Alpes;2022-02-27-2022-03-05;39619.00;9181.00;23.17;8361.00;61.00;0.72;8894.00;11.00;0.12;57.00;8906.00;99.36;8350.00;8421.00;99.16
