reg;semaine_glissante;pop;P;T;nom_region
08;2020-10-01-2020-10-07;35334;63;410;Saint-Martin
08;2020-10-02-2020-10-08;35334;65;423;Saint-Martin
08;2020-10-03-2020-10-09;35334;63;442;Saint-Martin
08;2020-10-04-2020-10-10;35334;62;445;Saint-Martin
08;2020-10-05-2020-10-11;35334;65;443;Saint-Martin
08;2020-10-06-2020-10-12;35334;71;451;Saint-Martin
08;2020-10-07-2020-10-13;35334;60;443;Saint-Martin
08;2020-10-08-2020-10-14;35334;54;417;Saint-Martin
08;2020-10-09-2020-10-15;35334;48;427;Saint-Martin
08;2020-10-10-2020-10-16;35334;40;389;Saint-Martin
08;2020-10-11-2020-10-17;35334;40;391;Saint-Martin
08;2020-10-12-2020-10-18;35334;37;392;Saint-Martin
08;2020-10-13-2020-10-19;35334;19;346;Saint-Martin
08;2020-10-14-2020-10-20;35334;17;292;Saint-Martin
08;2020-10-15-2020-10-21;35334;21;322;Saint-Martin
08;2020-10-16-2020-10-22;35334;22;313;Saint-Martin
08;2020-10-17-2020-10-23;35334;27;332;Saint-Martin
08;2020-10-18-2020-10-24;35334;28;322;Saint-Martin
08;2020-10-19-2020-10-25;35334;29;325;Saint-Martin
08;2020-10-20-2020-10-26;35334;36;329;Saint-Martin
08;2020-10-21-2020-10-27;35334;46;368;Saint-Martin
08;2020-10-22-2020-10-28;35334;42;399;Saint-Martin
08;2020-10-23-2020-10-29;35334;42;417;Saint-Martin
08;2020-10-24-2020-10-30;35334;48;441;Saint-Martin
08;2020-10-25-2020-10-31;35334;48;445;Saint-Martin
08;2020-10-26-2020-11-01;35334;47;449;Saint-Martin
08;2020-10-27-2020-11-02;35334;39;411;Saint-Martin
08;2020-10-28-2020-11-03;35334;34;408;Saint-Martin
08;2020-10-29-2020-11-04;35334;37;376;Saint-Martin
08;2020-10-30-2020-11-05;35334;43;370;Saint-Martin
08;2020-10-31-2020-11-06;35334;43;331;Saint-Martin
08;2020-11-01-2020-11-07;35334;43;331;Saint-Martin
08;2020-11-02-2020-11-08;35334;44;322;Saint-Martin
08;2020-11-03-2020-11-09;35334;48;366;Saint-Martin
08;2020-11-04-2020-11-10;35334;50;359;Saint-Martin
08;2020-11-05-2020-11-11;35334;40;288;Saint-Martin
08;2020-11-06-2020-11-12;35334;39;306;Saint-Martin
08;2020-11-07-2020-11-13;35334;33;341;Saint-Martin
08;2020-11-08-2020-11-14;35334;35;340;Saint-Martin
08;2020-11-09-2020-11-15;35334;34;342;Saint-Martin
08;2020-11-10-2020-11-16;35334;30;345;Saint-Martin
08;2020-11-11-2020-11-17;35334;29;364;Saint-Martin
08;2020-11-12-2020-11-18;35334;35;415;Saint-Martin
08;2020-11-13-2020-11-19;35334;29;388;Saint-Martin
08;2020-11-14-2020-11-20;35334;29;360;Saint-Martin
08;2020-11-15-2020-11-21;35334;28;363;Saint-Martin
08;2020-11-16-2020-11-22;35334;30;363;Saint-Martin
08;2020-11-17-2020-11-23;35334;44;383;Saint-Martin
08;2020-11-18-2020-11-24;35334;54;376;Saint-Martin
08;2020-11-19-2020-11-25;35334;65;422;Saint-Martin
08;2020-11-20-2020-11-26;35334;68;435;Saint-Martin
08;2020-11-21-2020-11-27;35334;73;482;Saint-Martin
08;2020-11-22-2020-11-28;35334;74;495;Saint-Martin
08;2020-11-23-2020-11-29;35334;74;493;Saint-Martin
08;2020-11-24-2020-11-30;35334;72;498;Saint-Martin
08;2020-11-25-2020-12-01;35334;74;500;Saint-Martin
08;2020-11-26-2020-12-02;35334;73;495;Saint-Martin
08;2020-11-27-2020-12-03;35334;73;506;Saint-Martin
08;2020-11-28-2020-12-04;35334;73;496;Saint-Martin
08;2020-11-29-2020-12-05;35334;76;504;Saint-Martin
08;2020-11-30-2020-12-06;35334;74;508;Saint-Martin
08;2020-12-01-2020-12-07;35334;73;546;Saint-Martin
08;2020-12-02-2020-12-08;35334;56;536;Saint-Martin
08;2020-12-03-2020-12-09;35334;55;559;Saint-Martin
08;2020-12-04-2020-12-10;35334;58;586;Saint-Martin
08;2020-12-05-2020-12-11;35334;54;587;Saint-Martin
08;2020-12-06-2020-12-12;35334;54;603;Saint-Martin
08;2020-12-07-2020-12-13;35334;58;624;Saint-Martin
08;2020-12-08-2020-12-14;35334;52;626;Saint-Martin
08;2020-12-09-2020-12-15;35334;52;664;Saint-Martin
08;2020-12-10-2020-12-16;35334;44;670;Saint-Martin
08;2020-12-11-2020-12-17;35334;45;717;Saint-Martin
